ConfirmedForeignNational,ConfirmedIndianNational,Confirmed,Cured,Date,Deaths,Number of Records,Sno,State/UnionTerritory,Time
0,4,4,0,22-03-2020,0,1,293,West Bengal,6:00 PM
0,7,7,0,23-03-2020,0,1,294,Andhra Pradesh,6:00 PM
0,2,2,0,23-03-2020,1,1,295,Bihar,6:00 PM
0,1,1,0,23-03-2020,0,1,296,Chhattisgarh,6:00 PM
1,28,29,5,23-03-2020,1,1,297,Delhi,6:00 PM
0,29,29,0,23-03-2020,1,1,298,Gujarat,6:00 PM
14,12,26,0,23-03-2020,0,1,299,Haryana,6:00 PM
0,2,2,0,23-03-2020,0,1,300,Himachal Pradesh,6:00 PM
0,33,33,2,23-03-2020,1,1,301,Karnataka,6:00 PM
7,60,67,3,23-03-2020,0,1,302,Kerala,6:00 PM
0,6,6,0,23-03-2020,0,1,303,Madhya Pradesh,6:00 PM
3,71,74,0,23-03-2020,2,1,304,Maharashtra,6:00 PM
0,2,2,0,23-03-2020,0,1,305,Odisha,6:00 PM
0,1,1,0,23-03-2020,0,1,306,Puducherry,6:00 PM
0,21,21,0,23-03-2020,1,1,307,Punjab,6:00 PM
2,26,28,3,23-03-2020,0,1,308,Rajasthan,6:00 PM
2,7,9,1,23-03-2020,0,1,309,Tamil Nadu,6:00 PM
10,22,32,1,23-03-2020,0,1,310,Telengana,6:00 PM
0,6,6,0,23-03-2020,0,1,311,Chandigarh,6:00 PM
0,4,4,0,23-03-2020,0,1,312,Jammu and Kashmir,6:00 PM
0,13,13,0,23-03-2020,0,1,313,Ladakh,6:00 PM
1,30,31,9,23-03-2020,0,1,314,Uttar Pradesh,6:00 PM
0,3,3,0,23-03-2020,0,1,315,Uttarakhand,6:00 PM
0,7,7,0,23-03-2020,0,1,316,West Bengal,6:00 PM
0,8,8,0,24-03-2020,0,1,317,Andhra Pradesh,6:00 PM
0,3,3,0,24-03-2020,1,1,318,Bihar,6:00 PM
0,1,1,0,24-03-2020,0,1,319,Chhattisgarh,6:00 PM
1,29,30,6,24-03-2020,1,1,320,Delhi,6:00 PM
1,32,33,0,24-03-2020,1,1,321,Gujarat,6:00 PM
14,14,28,11,24-03-2020,0,1,322,Haryana,6:00 PM
0,3,3,0,24-03-2020,1,1,323,Himachal Pradesh,6:00 PM
0,37,37,3,24-03-2020,1,1,324,Karnataka,6:00 PM
8,87,95,4,24-03-2020,0,1,325,Kerala,6:00 PM
0,7,7,0,24-03-2020,0,1,326,Madhya Pradesh,6:00 PM
3,86,89,0,24-03-2020,2,1,327,Maharashtra,6:00 PM
0,1,1,0,24-03-2020,0,1,328,Manipur,6:00 PM
0,2,2,0,24-03-2020,0,1,329,Odisha,6:00 PM
0,1,1,0,24-03-2020,0,1,330,Puducherry,6:00 PM
0,29,29,0,24-03-2020,1,1,331,Punjab,6:00 PM
2,30,32,3,24-03-2020,0,1,332,Rajasthan,6:00 PM
2,13,15,1,24-03-2020,0,1,333,Tamil Nadu,6:00 PM
10,25,35,1,24-03-2020,0,1,334,Telengana,6:00 PM
0,7,7,0,24-03-2020,0,1,335,Chandigarh,6:00 PM
0,4,4,0,24-03-2020,0,1,336,Jammu and Kashmir,6:00 PM
0,13,13,0,24-03-2020,0,1,337,Ladakh,6:00 PM
1,32,33,11,24-03-2020,0,1,338,Uttar Pradesh,6:00 PM
1,3,4,0,24-03-2020,0,1,339,Uttarakhand,6:00 PM
0,9,9,0,24-03-2020,1,1,340,West Bengal,6:00 PM
0,9,9,1,25-03-2020,0,1,341,Andhra Pradesh,6:00 PM
0,4,4,0,25-03-2020,1,1,342,Bihar,6:00 PM
0,1,1,0,25-03-2020,0,1,343,Chhattisgarh,6:00 PM
1,30,31,6,25-03-2020,1,1,344,Delhi,6:00 PM
1,37,38,0,25-03-2020,1,1,345,Gujarat,6:00 PM
14,14,28,11,25-03-2020,0,1,346,Haryana,6:00 PM
0,3,3,0,25-03-2020,1,1,347,Himachal Pradesh,6:00 PM
0,41,41,3,25-03-2020,1,1,348,Karnataka,6:00 PM
8,101,109,4,25-03-2020,0,1,349,Kerala,6:00 PM
0,14,14,0,25-03-2020,0,1,350,Madhya Pradesh,6:00 PM
3,125,128,1,25-03-2020,3,1,351,Maharashtra,6:00 PM
0,1,1,0,25-03-2020,0,1,352,Manipur,6:00 PM
0,1,1,0,25-03-2020,0,1,353,Mizoram,6:00 PM
0,2,2,0,25-03-2020,0,1,354,Odisha,6:00 PM
0,1,1,0,25-03-2020,0,1,355,Puducherry,6:00 PM
0,29,29,0,25-03-2020,1,1,356,Punjab,6:00 PM
2,34,36,3,25-03-2020,0,1,357,Rajasthan,6:00 PM
2,16,18,1,25-03-2020,0,1,358,Tamil Nadu,6:00 PM
10,25,35,1,25-03-2020,0,1,359,Telengana,6:00 PM
0,7,7,0,25-03-2020,0,1,360,Chandigarh,6:00 PM
0,7,7,1,25-03-2020,0,1,361,Jammu and Kashmir,6:00 PM
0,13,13,0,25-03-2020,0,1,362,Ladakh,6:00 PM
1,36,37,11,25-03-2020,0,1,363,Uttar Pradesh,6:00 PM
1,3,4,0,25-03-2020,0,1,364,Uttarakhand,6:00 PM
0,9,9,0,25-03-2020,1,1,365,West Bengal,6:00 PM
0,1,1,0,26-03-2020,0,1,366,Andaman and Nicobar Islands,6:00 PM
0,11,11,1,26-03-2020,0,1,367,Andhra Pradesh,6:00 PM
0,6,6,0,26-03-2020,1,1,368,Bihar,6:00 PM
0,7,7,0,26-03-2020,0,1,369,Chandigarh,6:00 PM
0,6,6,0,26-03-2020,0,1,370,Chhattisgarh,6:00 PM
1,35,36,6,26-03-2020,1,1,371,Delhi,6:00 PM
0,3,3,0,26-03-2020,0,1,372,Goa,6:00 PM
1,42,43,0,26-03-2020,3,1,373,Gujarat,6:00 PM
14,16,30,11,26-03-2020,0,1,374,Haryana,6:00 PM
0,3,3,0,26-03-2020,1,1,375,Himachal Pradesh,6:00 PM
0,13,13,1,26-03-2020,0,1,376,Jammu and Kashmir,6:00 PM
0,55,55,3,26-03-2020,2,1,377,Karnataka,6:00 PM
8,110,118,6,26-03-2020,0,1,378,Kerala,6:00 PM
0,13,13,0,26-03-2020,0,1,379,Ladakh,6:00 PM
0,20,20,0,26-03-2020,1,1,380,Madhya Pradesh,6:00 PM
3,121,124,1,26-03-2020,3,1,381,Maharashtra,6:00 PM
0,1,1,0,26-03-2020,0,1,382,Manipur,6:00 PM
0,1,1,0,26-03-2020,0,1,383,Mizoram,6:00 PM
0,2,2,0,26-03-2020,0,1,384,Odisha,6:00 PM
0,1,1,0,26-03-2020,0,1,385,Puducherry,6:00 PM
0,33,33,0,26-03-2020,1,1,386,Punjab,6:00 PM
2,39,41,3,26-03-2020,0,1,387,Rajasthan,6:00 PM
6,20,26,1,26-03-2020,1,1,388,Tamil Nadu,6:00 PM
10,34,44,1,26-03-2020,0,1,389,Telengana,6:00 PM
1,4,5,0,26-03-2020,0,1,390,Uttarakhand,6:00 PM
1,40,41,11,26-03-2020,0,1,391,Uttar Pradesh,6:00 PM
0,10,10,0,26-03-2020,1,1,392,West Bengal,6:00 PM
0,1,1,0,27-03-2020,0,1,393,Andaman and Nicobar Islands,10:00 AM
0,12,12,1,27-03-2020,0,1,394,Andhra Pradesh,10:00 AM
0,6,6,0,27-03-2020,1,1,395,Bihar,10:00 AM
0,7,7,0,27-03-2020,0,1,396,Chandigarh,10:00 AM
0,6,6,0,27-03-2020,0,1,397,Chhattisgarh,10:00 AM
1,35,36,6,27-03-2020,1,1,398,Delhi,10:00 AM
0,3,3,0,27-03-2020,0,1,399,Goa,10:00 AM
